ImgNum,KptDetector,TotalNumOfKpts,DetectionTime,NumrOfKptsInROI,DescriptorType,ExtractionTime,Matcher,Selector,NumOfMatches,MatchingTime
Evaluate detector SHITOMASI and descriptor BRISK
3,SIFT,1335,125.723,137,BRISK,1.71313,BF,KNN,58,0.709099
4,SIFT,1305,125.677,134,BRISK,1.63266,BF,KNN,61,0.688882
5,SIFT,1370,122.583,140,BRISK,1.79846,BF,KNN,55,0.683861
6,SIFT,1396,123.158,137,BRISK,1.61129,BF,KNN,52,0.716465
7,SIFT,1382,124.296,148,BRISK,1.75167,BF,KNN,54,0.711306
8,SIFT,1463,123.006,159,BRISK,2.06065,BF,KNN,63,0.880418
9,SIFT,1422,122.847,137,BRISK,1.82196,BF,KNN,73,0.877262
Evaluate detector SIFT and descriptor BRIEF
0,SIFT,1438,125.257,138,BRIEF,0.743816
1,SIFT,1371,124.285,132,BRIEF,0.846962,BF,KNN,63,0.414962
2,SIFT,1380,121.059,124,BRIEF,0.745044,BF,KNN,72,0.375976
3,SIFT,1335,125.525,137,BRIEF,0.842227,BF,KNN,64,0.399778
4,SIFT,1305,127.87,134,BRIEF,0.80778,BF,KNN,66,0.414901
5,SIFT,1370,127.585,140,BRIEF,0.728459,BF,KNN,52,0.367756
6,SIFT,1396,123.657,137,BRIEF,0.814946,BF,KNN,57,0.433012
7,SIFT,1382,129.558,148,BRIEF,0.822538,BF,KNN,72,0.413221
8,SIFT,1463,120.356,159,BRIEF,0.900177,BF,KNN,67,0.513618
9,SIFT,1422,126.198,137,BRIEF,0.796268,BF,KNN,84,0.459161
Detector SIFT is not compatible with descriptor ORB
Evaluate detector SIFT and descriptor FREAK
0,SIFT,1438,126.824,138,FREAK,41.327
1,SIFT,1371,126.84,132,FREAK,40.156,BF,KNN,59,0.677545
2,SIFT,1380,121.382,124,FREAK,40.6309,BF,KNN,63,0.556941
3,SIFT,1335,124.609,137,FREAK,40.6367,BF,KNN,54,0.551259
4,SIFT,1305,126.691,134,FREAK,41.2337,BF,KNN,64,0.672674
5,SIFT,1370,130.844,140,FREAK,40.2021,BF,KNN,51,0.806808
6,SIFT,1396,121.382,137,FREAK,41.5919,BF,KNN,50,0.773078
7,SIFT,1382,119.044,148,FREAK,39.379,BF,KNN,47,0.662771
8,SIFT,1463,120.887,159,FREAK,39.5798,BF,KNN,53,0.796174
9,SIFT,1422,125.312,137,FREAK,43.908,BF,KNN,65,0.800277
Detector SIFT is not compatible with descriptor AKAZE
Evaluate detector SIFT and descriptor SIFT
0,SIFT,1438,120.319,138,SIFT,74.8018
1,SIFT,1371,95.754,132,SIFT,73.2993,BF,KNN,82,0.543787
2,SIFT,1380,98.5605,124,SIFT,75.909,BF,KNN,81,0.34425
3,SIFT,1335,92.4254,137,SIFT,73.3002,BF,KNN,85,0.441797
4,SIFT,1305,95.0361,134,SIFT,76.0756,BF,KNN,93,0.446046
5,SIFT,1370,95.442,140,SIFT,77.6714,BF,KNN,90,0.463874
6,SIFT,1396,95.849,137,SIFT,75.5715,BF,KNN,81,0.426999
7,SIFT,1382,91.0244,148,SIFT,74.1893,BF,KNN,82,0.454579
8,SIFT,1463,98.3883,159,SIFT,74.4378,BF,KNN,102,0.58431
9,SIFT,1422,100.505,137,SIFT,74.7392,BF,KNN,104,0.50659
