ImgNum,KptDetector,TotalNumOfKpts,DetectionTime,NumrOfKptsInROI,DescriptorType,ExtractionTime,Matcher,Selector,NumOfMatches,MatchingTime
Evaluate detector SHITOMASI and descriptor BRISK
Evaluate detector HARRIS and descriptor ORB
0,HARRIS,115,3.22598,17,ORB,0.691024
1,HARRIS,98,3.08392,14,ORB,0.666333,BF,KNN,11,0.0589
2,HARRIS,113,3.04008,18,ORB,0.833042,BF,KNN,11,0.068022
3,HARRIS,121,3.1218,21,ORB,0.711804,BF,KNN,14,0.060971
4,HARRIS,160,3.80423,26,ORB,0.859834,BF,KNN,17,0.078965
5,HARRIS,383,17.838,43,ORB,0.791166,BF,KNN,19,0.096492
6,HARRIS,85,3.20997,18,ORB,0.829838,BF,KNN,19,0.111435
7,HARRIS,210,5.42359,31,ORB,0.863148,BF,KNN,13,0.115941
8,HARRIS,171,4.12071,26,ORB,0.662935,BF,KNN,21,0.087319
9,HARRIS,281,8.81209,34,ORB,0.813671,BF,KNN,20,0.070677
Evaluate detector HARRIS and descriptor FREAK
0,HARRIS,115,3.12631,17,FREAK,38.0265
1,HARRIS,98,3.10314,14,FREAK,39.7825,BF,KNN,11,0.084357
2,HARRIS,113,3.16243,18,FREAK,39.5112,BF,KNN,9,0.083488
3,HARRIS,121,3.13255,21,FREAK,38.6871,BF,KNN,13,0.063509
4,HARRIS,160,3.63016,26,FREAK,38.2435,BF,KNN,14,0.101354
5,HARRIS,383,17.5789,43,FREAK,38.9787,BF,KNN,13,0.119403
6,HARRIS,85,2.84847,18,FREAK,38.8412,BF,KNN,18,0.194568
7,HARRIS,210,5.48801,31,FREAK,37.7252,BF,KNN,10,0.129766
8,HARRIS,171,4.1394,26,FREAK,39.1186,BF,KNN,17,0.104317
9,HARRIS,281,9.48621,34,FREAK,39.7451,BF,KNN,18,0.123256
Detector HARRIS is not compatible with descriptor AKAZE
Evaluate detector HARRIS and descriptor SIFT
0,HARRIS,115,3.12817,17,SIFT,13.9593
1,HARRIS,98,2.96313,14,SIFT,13.9758,BF,KNN,14,0.033628
2,HARRIS,113,3.18713,18,SIFT,13.8936,BF,KNN,11,0.027242
3,HARRIS,121,3.29757,21,SIFT,14.0463,BF,KNN,16,0.03362
4,HARRIS,160,3.91831,26,SIFT,14.1454,BF,KNN,19,0.037301
5,HARRIS,383,17.8303,43,SIFT,14.2054,BF,KNN,22,0.054557
6,HARRIS,85,2.72881,18,SIFT,13.5316,BF,KNN,22,0.047185
7,HARRIS,210,5.47042,31,SIFT,13.486,BF,KNN,13,0.040993
8,HARRIS,171,4.25651,26,SIFT,12.3631,BF,KNN,24,0.049934
9,HARRIS,281,9.47762,34,SIFT,12.6488,BF,KNN,22,0.044021
Evaluate detector FAST and descriptor BRISK
0,FAST,5063,2.11028,419,BRISK,5.1962
1,FAST,4952,1.96438,427,BRISK,4.83544,BF,KNN,213,5.50762
2,FAST,4863,2.18409,404,BRISK,4.329,BF,KNN,216,5.23253
3,FAST,4840,1.94634,423,BRISK,4.41506,BF,KNN,187,5.31504
4,FAST,4856,1.98125,386,BRISK,4.29321,BF,KNN,205,5.11323
5,FAST,4899,1.72385,414,BRISK,4.27501,BF,KNN,185,4.8539
6,FAST,4870,1.96336,418,BRISK,4.41396,BF,KNN,200,5.25985
